customer_id,company_name,industry,company_size_band,country,signup_date,acquisition_channel,assigned_csm
CUST00001,"Montgomery, Hensley and Ray",Retail,SMB,France,2025-07-13,Referral,
CUST00002,"Jones, Stanley and Mejia",Retail,SMB,United States,2025-09-24,Referral,
CUST00003,Wyatt Inc,Retail,SMB,Ireland,2025-09-06,Organic,
CUST00004,Ramirez-Reid,Manufacturing,SMB,United States,2025-03-05,Paid,
CUST00005,Martin-Kelly,Hospitality,Mid-Market,United States,2024-08-31,Paid,
CUST00006,"Adams, Zuniga and Wong",Education,Mid-Market,United States,2025-02-26,Referral,Allison Hill
CUST00007,"Reid, Ferguson and Sanchez",Media,Mid-Market,United States,2023-11-04,Outbound Sales,
CUST00008,Gray-Mayo,Financial Services,Mid-Market,United States,2024-01-05,Referral,Noah Rhodes
CUST00009,"Watts, Robinson and Nguyen",Financial Services,SMB,Canada,2023-08-19,Outbound Sales,
CUST00010,Perez Inc,Logistics,Mid-Market,United States,2025-03-02,Paid,Gabrielle Davis
CUST00011,Morales-Jones,Retail,Enterprise,India,2025-11-01,Outbound Sales,Gabrielle Davis
CUST00012,"Walter, Edwards and Rios",Financial Services,Enterprise,United States,2024-05-22,Organic,Ryan Munoz
CUST00013,Wilkerson-Day,Manufacturing,SMB,United States,2025-09-04,Paid,
CUST00014,Baker and Sons,Manufacturing,SMB,United States,2025-08-21,Organic,
CUST00015,"Hoffman, Baker and Richards",Logistics,Mid-Market,United States,2023-04-11,Outbound Sales,
CUST00016,"Ross, Robinson and Bright",Financial Services,Mid-Market,India,2023-11-23,Paid,Connie Lawrence
CUST00017,"Snyder, Campos and Callahan",Retail,Enterprise,Australia,2024-10-06,Organic,Ryan Munoz
CUST00018,Burton Ltd,Manufacturing,SMB,India,2025-05-17,Outbound Sales,
CUST00019,Carlson-Cruz,Hospitality,SMB,Germany,2025-07-29,Referral,
CUST00020,"Ferrell, Rice and Maddox",Software,SMB,Canada,2024-12-24,Organic,
CUST00021,Frazier Inc,Education,SMB,Australia,2024-09-21,Paid,
