invoice_id,subscription_id,invoice_date,amount_due,amount_paid,payment_status,discount_pct
INV0000001,SUB000001,2025-07-13,46.55,46.55,Paid,5.0
INV0000002,SUB000001,2025-08-13,46.55,46.55,Paid,5.0
INV0000003,SUB000001,2025-09-13,46.55,46.55,Paid,5.0
INV0000004,SUB000001,2025-10-13,46.55,46.55,Paid,5.0
INV0000005,SUB000001,2025-11-13,46.55,46.55,Paid,5.0
INV0000006,SUB000001,2025-12-13,46.55,46.55,Paid,5.0
INV0000007,SUB000002,2025-09-24,46.55,46.55,Paid,5.0
INV0000008,SUB000002,2025-10-24,46.55,0.0,Failed,5.0
INV0000009,SUB000002,2025-11-24,46.55,46.55,Paid,5.0
INV0000010,SUB000002,2025-12-24,46.55,46.55,Paid,5.0
INV0000011,SUB000003,2025-12-24,189.05,189.05,Paid,5.0
INV0000012,SUB000004,2025-09-06,899.0,899.0,Paid,0.0
INV0000013,SUB000004,2025-10-06,899.0,899.0,Paid,0.0
INV0000014,SUB000004,2025-11-06,899.0,899.0,Paid,0.0
INV0000015,SUB000004,2025-12-06,899.0,899.0,Paid,0.0
INV0000016,SUB000005,2025-03-05,46.55,46.55,Paid,5.0
INV0000017,SUB000005,2025-04-05,46.55,0.0,Failed,5.0
INV0000018,SUB000005,2025-05-05,46.55,46.55,Paid,5.0
INV0000019,SUB000005,2025-06-05,46.55,46.55,Paid,5.0
INV0000020,SUB000005,2025-07-05,46.55,46.55,Paid,5.0
INV0000021,SUB000005,2025-08-05,46.55,46.55,Paid,5.0
INV0000022,SUB000005,2025-09-05,46.55,46.55,Paid,5.0
INV0000023,SUB000005,2025-10-05,46.55,46.55,Paid,5.0
INV0000024,SUB000006,2024-08-31,199.0,0.0,Failed,0.0
INV0000025,SUB000006,2024-09-30,199.0,199.0,Paid,0.0
INV0000026,SUB000006,2024-10-30,199.0,199.0,Paid,0.0
INV0000027,SUB000006,2024-11-30,199.0,199.0,Paid,0.0
INV0000028,SUB000006,2024-12-30,199.0,199.0,Paid,0.0
INV0000029,SUB000006,2025-01-30,199.0,199.0,Paid,0.0
INV0000030,SUB000006,2025-02-28,199.0,199.0,Paid,0.0
INV0000031,SUB000006,2025-03-28,199.0,199.0,Paid,0.0
INV0000032,SUB000006,2025-04-28,199.0,199.0,Paid,0.0
INV0000033,SUB000006,2025-05-28,199.0,199.0,Paid,0.0
INV0000034,SUB000006,2025-06-28,199.0,199.0,Paid,0.0
INV0000035,SUB000006,2025-07-28,199.0,199.0,Paid,0.0
INV0000036,SUB000006,2025-08-28,199.0,199.0,Paid,0.0
INV0000037,SUB000006,2025-09-28,199.0,0.0,Failed,0.0
INV0000038,SUB000006,2025-10-28,199.0,199.0,Paid,0.0
INV0000039,SUB000006,2025-11-28,199.0,199.0,Paid,0.0
INV0000040,SUB000006,2025-12-28,199.0,199.0,Paid,0.0
INV0000041,SUB000007,2025-02-26,189.05,189.05,Paid,5.0
INV0000042,SUB000007,2025-03-26,189.05,0.0,Refunded,5.0
INV0000043,SUB000007,2025-04-26,189.05,189.05,Paid,5.0
INV0000044,SUB000007,2025-05-26,189.05,189.05,Paid,5.0
INV0000045,SUB000007,2025-06-26,189.05,189.05,Paid,5.0
INV0000046,SUB000007,2025-07-26,189.05,189.05,Paid,5.0
INV0000047,SUB000007,2025-08-26,189.05,189.05,Paid,5.0
INV0000048,SUB000007,2025-09-26,189.05,189.05,Paid,5.0
INV0000049,SUB000007,2025-10-26,189.05,189.05,Paid,5.0
INV0000050,SUB000007,2025-11-26,189.05,189.05,Paid,5.0
INV0000051,SUB000007,2025-12-26,189.05,189.05,Paid,5.0
INV0000052,SUB000008,2023-11-04,809.1,809.1,Paid,10.0
INV0000053,SUB000008,2023-12-04,809.1,809.1,Paid,10.0
INV0000054,SUB000008,2024-01-04,809.1,809.1,Paid,10.0
INV0000055,SUB000008,2024-02-04,809.1,809.1,Paid,10.0
INV0000056,SUB000008,2024-03-04,809.1,809.1,Paid,10.0
INV0000057,SUB000008,2024-04-04,809.1,809.1,Paid,10.0
INV0000058,SUB000008,2024-05-04,809.1,809.1,Paid,10.0
INV0000059,SUB000008,2024-06-04,809.1,809.1,Paid,10.0
INV0000060,SUB000008,2024-07-04,809.1,809.1,Paid,10.0
INV0000061,SUB000008,2024-08-04,809.1,809.1,Paid,10.0
INV0000062,SUB000008,2024-09-04,809.1,809.1,Paid,10.0
INV0000063,SUB000008,2024-10-04,809.1,809.1,Paid,10.0
INV0000064,SUB000008,2024-11-04,809.1,809.1,Paid,10.0
INV0000065,SUB000008,2024-12-04,809.1,809.1,Paid,10.0
INV0000066,SUB000008,2025-01-04,809.1,809.1,Paid,10.0
INV0000067,SUB000008,2025-02-04,809.1,809.1,Paid,10.0
INV0000068,SUB000008,2025-03-04,809.1,809.1,Paid,10.0
INV0000069,SUB000008,2025-04-04,809.1,0.0,Failed,10.0
