subscription_id,customer_id,plan_tier,start_date,billing_cycle,mrr_amount,status,change_type
SUB000001,CUST00001,Starter,2025-07-13,Monthly,46.55,Active,New
SUB000002,CUST00002,Starter,2025-09-24,Monthly,46.55,Active,New
SUB000003,CUST00002,Growth,2025-12-24,Monthly,189.05,Active,Upgrade
SUB000004,CUST00003,Enterprise,2025-09-06,Annual,899,Active,New
SUB000005,CUST00004,Starter,2025-03-05,Monthly,46.55,Cancelled,New
SUB000006,CUST00005,Growth,2024-08-31,Monthly,199,Active,New
SUB000007,CUST00006,Growth,2025-02-26,Monthly,189.05,Active,New
SUB000008,CUST00007,Enterprise,2023-11-04,Annual,809.1,Active,New
SUB000009,CUST00008,Starter,2024-01-05,Annual,49,Active,New
SUB000010,CUST00009,Starter,2023-08-19,Annual,44.1,Active,New
SUB000011,CUST00010,Enterprise,2025-03-02,Monthly,899,Active,New
SUB000012,CUST00011,Enterprise,2025-11-01,Monthly,899,Active,New
SUB000013,CUST00012,Enterprise,2024-05-22,Monthly,899,Active,New
SUB000014,CUST00013,Starter,2025-09-04,Monthly,46.55,Cancelled,New
SUB000015,CUST00014,Starter,2025-08-21,Monthly,49,Cancelled,New
SUB000016,CUST00015,Growth,2023-04-11,Monthly,179.1,Cancelled,New
SUB000017,CUST00016,Enterprise,2023-11-23,Monthly,899,Active,New
SUB000018,CUST00017,Enterprise,2024-10-06,Monthly,899,Active,New
SUB000019,CUST00018,Growth,2025-05-17,Monthly,199,Active,New
SUB000020,CUST00019,Growth,2025-07-29,Monthly,179.1,Cancelled,New
SUB000021,CUST00020,Starter,2024-12-24,Annual,44.1,Active,New
SUB000022,CUST00020,Growth,2025-08-24,Annual,179.1,Active,Upgrade
SUB000023,CUST00021,Starter,2024-09-21,Monthly,44.1,Cancelled,New
SUB000024,CUST00022,Starter,2025-07-26,Monthly,49,Active,New
SUB000025,CUST00023,Growth,2025-10-27,Annual,179.1,Active,New
SUB000026,CUST00024,Enterprise,2024-05-11,Monthly,809.1,Active,New
SUB000027,CUST00025,Enterprise,2024-09-24,Monthly,809.1,Active,New
SUB000028,CUST00026,Growth,2025-09-21,Monthly,199,Cancelled,New
SUB000029,CUST00027,Starter,2024-02-11,Monthly,46.55,Active,New
SUB000030,CUST00028,Starter,2025-06-26,Annual,49,Active,New
SUB000031,CUST00029,Enterprise,2025-02-14,Monthly,899,Active,New
SUB000032,CUST00030,Growth,2025-02-18,Annual,199,Active,New
SUB000033,CUST00031,Enterprise,2024-03-18,Annual,764.15,Cancelled,New
SUB000034,CUST00032,Starter,2025-07-30,Monthly,46.55,Cancelled,New
SUB000035,CUST00033,Starter,2025-05-15,Annual,49,Cancelled,New
SUB000036,CUST00034,Growth,2024-05-11,Monthly,199,Active,New
SUB000037,CUST00035,Growth,2025-02-24,Monthly,179.1,Active,New
SUB000038,CUST00036,Starter,2024-11-22,Monthly,49,Active,New
SUB000039,CUST00036,Growth,2025-10-22,Annual,199,Active,Upgrade
SUB000040,CUST00037,Growth,2025-10-24,Monthly,199,Cancelled,New
SUB000041,CUST00038,Enterprise,2025-03-26,Monthly,899,Active,New
SUB000042,CUST00039,Starter,2025-10-12,Annual,49,Active,New
SUB000043,CUST00040,Starter,2025-10-10,Annual,49,Cancelled,New
SUB000044,CUST00041,Enterprise,2024-04-10,Annual,899,Active,New
SUB000045,CUST00042,Starter,2025-06-02,Monthly,49,Active,New
SUB000046,CUST00042,Growth,2025-09-02,Monthly,199,Active,Upgrade
SUB000047,CUST00043,Growth,2025-05-26,Monthly,169.15,Active,New
SUB000048,CUST00043,Enterprise,2025-08-26,Monthly,764.15,Active,Upgrade
SUB000049,CUST00044,Growth,2025-07-21,Monthly,199,Cancelled,New
SUB000050,CUST00045,Growth,2023-12-29,Annual,189.05,Active,New
SUB000051,CUST00046,Starter,2024-11-27,Monthly,39.2,Active,New
SUB000052,CUST00047,Growth,2025-04-09,Monthly,199,Active,New
SUB000053,CUST00047,Enterprise,2025-08-09,Monthly,899,Active,Upgrade
SUB000054,CUST00048,Enterprise,2023-07-16,Annual,764.15,Active,New
SUB000055,CUST00049,Enterprise,2025-10-19,Monthly,899,Active,New
SUB000056,CUST00050,Enterprise,2025-11-14,Monthly,899,Active,New
SUB000057,CUST00051,Starter,2025-09-16,Annual,46.55,Active,New
SUB000058,CUST00052,Growth,2025-06-22,Monthly,199,Active,New
SUB000059,CUST00053,Growth,2024-03-11,Monthly,169.15,Active,New
SUB000060,CUST00054,Growth,2025-06-26,Monthly,199,Active,New
SUB000061,CUST00055,Growth,2025-09-25,Monthly,179.1,Active,New
SUB000062,CUST00056,Starter,2025-05-25,Monthly,46.55,Active,New
SUB000063,CUST00057,Starter,2024-11-13,Monthly,49,Active,New
SUB000064,CUST00058,Starter,2025-03-17,Monthly,41.65,Active,New
SUB000065,CUST00059,Starter,2025-09-01,Monthly,49,Active,New
SUB000066,CUST00059,Growth,2025-12-01,Monthly,199,Active,Upgrade
SUB000067,CUST00060,Starter,2024-06-14,Annual,41.65,Cancelled,New
SUB000068,CUST00061,Starter,2025-03-16,Monthly,49,Cancelled,New
SUB000069,CUST00062,Enterprise,2024-09-29,Monthly,674.25,Active,New
SUB000070,CUST00063,Starter,2023-07-20,Monthly,41.65,Active,New
SUB000071,CUST00064,Growth,2024-04-25,Annual,189.05,Active,New
SUB000072,CUST00064,Enterprise,2024-09-25,Monthly,854.05,Active,Upgrade
SUB000073,CUST00065,Growth,2025-05-31,Annual,199,Cancelled,New
