ticket_id,customer_id,created_date,priority,category,resolution_hours,csat_score
TKT0000001,CUST00581,2023-08-09,High,Account Access,79.0,4
TKT0000002,CUST00581,2023-06-03,Low,Bug Report,9.0,4
TKT0000003,CUST00581,2023-06-02,Low,Feature Request,31.0,4
TKT0000004,CUST00581,2023-10-04,High,Bug Report,41.0,2
TKT0000005,CUST00581,2023-08-27,High,Bug Report,8.0,2
TKT0000006,CUST00581,2023-08-15,Urgent,Performance Issue,10.0,2
TKT0000007,CUST01838,2024-02-17,Low,Bug Report,34.0,4
TKT0000008,CUST01838,2025-07-20,Low,Account Access,31.0,5
TKT0000009,CUST01838,2023-09-20,Medium,Feature Request,15.0,4
TKT0000010,CUST01838,2024-10-18,Low,Performance Issue,20.0,4
TKT0000011,CUST01838,2025-11-10,Medium,Performance Issue,41.0,5
TKT0000012,CUST01402,2023-10-30,Low,Billing,30.0,4
TKT0000013,CUST01402,2025-08-01,Low,Performance Issue,7.0,3
TKT0000014,CUST01402,2025-08-05,Low,Account Access,13.0,3
TKT0000015,CUST01402,2025-03-11,Medium,Billing,2.0,4
TKT0000016,CUST01402,2025-04-01,Urgent,Bug Report,2.0,4
TKT0000017,CUST01402,2023-03-10,Low,Billing,8.0,4
TKT0000018,CUST01402,2025-04-20,High,Feature Request,44.0,3
TKT0000019,CUST01402,2023-05-24,Urgent,Billing,100.0,5
TKT0000020,CUST01402,2024-11-11,Medium,Account Access,17.0,2
TKT0000021,CUST01402,2025-10-23,Low,Billing,7.0,5
TKT0000022,CUST01402,2024-03-23,Medium,General Question,9.0,3
TKT0000023,CUST01402,2025-02-02,Low,Account Access,3.0,3
TKT0000024,CUST01547,2023-02-19,Urgent,General Question,20.0,5
TKT0000025,CUST01547,2023-06-27,Urgent,Performance Issue,35.0,1
TKT0000026,CUST01547,2023-06-08,High,Performance Issue,26.0,1
TKT0000027,CUST01547,2023-05-25,High,Bug Report,114.0,3
TKT0000028,CUST01547,2023-05-20,High,Performance Issue,9.0,1
TKT0000029,CUST02010,2024-06-13,Low,General Question,10.0,4
TKT0000030,CUST02010,2023-05-23,Medium,Bug Report,16.0,4
TKT0000031,CUST02010,2023-12-09,Medium,Onboarding Help,1.0,5
TKT0000032,CUST02010,2023-08-11,Medium,Feature Request,3.0,5
TKT0000033,CUST02010,2024-01-03,Medium,Onboarding Help,50.0,5
TKT0000034,CUST02010,2024-09-16,High,Bug Report,33.0,2
TKT0000035,CUST02010,2023-03-17,Medium,Account Access,17.0,5
TKT0000036,CUST02010,2024-02-24,High,Billing,5.0,5
TKT0000037,CUST02010,2024-09-30,Urgent,Performance Issue,31.0,3
TKT0000038,CUST02010,2024-10-13,Urgent,Bug Report,30.0,2
TKT0000039,CUST02010,2024-08-23,High,Bug Report,24.0,1
TKT0000040,CUST02010,2024-09-17,High,Bug Report,36.0,2
TKT0000041,CUST02731,2023-04-07,Low,Bug Report,36.0,4
TKT0000042,CUST02731,2023-03-31,Medium,Account Access,5.0,2
TKT0000043,CUST02731,2023-07-05,Medium,Performance Issue,12.0,3
TKT0000044,CUST02731,2023-03-23,Low,General Question,32.0,1
TKT0000045,CUST02731,2023-07-12,Low,Onboarding Help,4.0,2
TKT0000046,CUST02731,2023-08-12,Urgent,Billing,4.0,2
TKT0000047,CUST02731,2023-07-01,High,Billing,16.0,2
TKT0000048,CUST00466,2023-07-10,High,Feature Request,36.0,4
TKT0000049,CUST00466,2025-03-08,Low,Billing,7.0,3
TKT0000050,CUST00466,2023-11-11,Low,Feature Request,11.0,3
TKT0000051,CUST00466,2024-03-09,Low,Billing,45.0,3
TKT0000052,CUST00466,2023-09-19,Urgent,Feature Request,19.0,3
TKT0000053,CUST02631,2025-04-15,Low,Feature Request,15.0,3
TKT0000054,CUST02631,2023-09-15,Low,Feature Request,3.0,5
TKT0000055,CUST02631,2024-06-18,Urgent,Performance Issue,44.0,1
TKT0000056,CUST02631,2024-08-12,Medium,Performance Issue,5.0,4
TKT0000057,CUST02631,2024-02-28,High,Bug Report,12.0,4
TKT0000058,CUST02631,2023-03-10,Low,Account Access,6.0,5
TKT0000059,CUST02631,2024-07-07,High,Performance Issue,51.0,3
TKT0000060,CUST02631,2023-06-09,High,Onboarding Help,5.0,5
TKT0000061,CUST02631,2023-05-25,High,Feature Request,29.0,3
TKT0000062,CUST02631,2024-06-29,Low,Account Access,4.0,4
TKT0000063,CUST01380,2023-10-14,Urgent,Performance Issue,18.0,3
TKT0000064,CUST01380,2025-02-06,Urgent,General Question,31.0,3
TKT0000065,CUST01380,2025-04-22,Medium,Bug Report,13.0,5
TKT0000066,CUST01380,2023-11-02,Medium,Bug Report,29.0,4
TKT0000067,CUST01380,2024-02-06,Medium,Onboarding Help,17.0,4
TKT0000068,CUST01380,2024-08-29,Low,Bug Report,17.0,5
TKT0000069,CUST01380,2024-09-13,Low,Billing,7.0,4
TKT0000070,CUST01380,2023-08-05,Urgent,Billing,12.0,4
TKT0000071,CUST01380,2024-02-20,Low,Feature Request,6.0,5
TKT0000072,CUST01380,2024-03-27,Medium,Bug Report,19.0,5
TKT0000073,CUST01380,2024-04-04,Low,Performance Issue,3.0,4
TKT0000074,CUST01380,2024-09-30,Low,Onboarding Help,7.0,4
TKT0000075,CUST01380,2024-01-26,Low,General Question,21.0,3
TKT0000076,CUST01348,2023-06-13,Low,Bug Report,11.0,2
TKT0000077,CUST01348,2023-07-02,Medium,Performance Issue,11.0,4
TKT0000078,CUST01348,2023-07-03,High,Bug Report,8.0,4
TKT0000079,CUST01348,2023-06-14,High,Bug Report,9.0,1
TKT0000080,CUST01348,2023-07-10,Urgent,Bug Report,123.0,1
TKT0000081,CUST01348,2023-05-31,Urgent,Bug Report,69.0,2
TKT0000082,CUST01225,2023-08-12,Low,Billing,12.0,3
TKT0000083,CUST01225,2025-09-28,Low,Onboarding Help,8.0,5
TKT0000084,CUST01225,2023-08-07,High,Bug Report,8.0,4
TKT0000085,CUST01225,2023-07-10,Medium,Bug Report,23.0,4
TKT0000086,CUST01225,2024-01-24,Low,Feature Request,112.0,4
TKT0000087,CUST01225,2024-04-17,Urgent,Account Access,10.0,2
TKT0000088,CUST01225,2023-04-05,High,General Question,2.0,5
TKT0000089,CUST01225,2024-05-19,High,General Question,16.0,3
TKT0000090,CUST01225,2023-08-19,Low,Bug Report,9.0,3
TKT0000091,CUST02628,2024-01-15,Low,Account Access,28.0,5
TKT0000092,CUST02628,2024-04-26,High,General Question,12.0,4
TKT0000093,CUST02628,2024-08-02,Low,Performance Issue,60.0,3
TKT0000094,CUST02628,2023-09-14,Low,Feature Request,24.0,5
TKT0000095,CUST02628,2025-05-28,Medium,Performance Issue,4.0,5
TKT0000096,CUST02628,2023-07-31,Low,Onboarding Help,14.0,5
TKT0000097,CUST02628,2023-08-17,Low,General Question,7.0,3
TKT0000098,CUST02628,2025-04-23,Low,General Question,30.0,5
TKT0000099,CUST02628,2025-01-22,Medium,Bug Report,19.0,5
TKT0000100,CUST02628,2025-05-09,Low,Account Access,15.0,4
TKT0000101,CUST02628,2025-06-21,High,Feature Request,9.0,3
TKT0000102,CUST02628,2025-09-09,Urgent,Billing,37.0,5
TKT0000103,CUST00527,2023-05-04,Urgent,Billing,3.0,5
TKT0000104,CUST00527,2025-08-25,Low,General Question,43.0,4
TKT0000105,CUST00527,2023-10-30,High,Onboarding Help,2.0,4
TKT0000106,CUST00527,2025-09-26,Low,General Question,15.0,5
TKT0000107,CUST00527,2024-06-19,Medium,Account Access,37.0,5
TKT0000108,CUST00527,2024-02-24,Low,Account Access,47.0,3
TKT0000109,CUST00527,2025-10-22,Low,Onboarding Help,9.0,5
TKT0000110,CUST00527,2024-01-15,High,Bug Report,3.0,5
TKT0000111,CUST02860,2024-04-18,Low,Performance Issue,74.0,3
TKT0000112,CUST02860,2023-10-10,Low,Performance Issue,32.0,5
TKT0000113,CUST02860,2024-02-20,Urgent,Feature Request,5.0,2
TKT0000114,CUST02860,2025-03-29,Medium,Feature Request,40.0,5
TKT0000115,CUST02860,2025-04-21,Urgent,Bug Report,3.0,3
TKT0000116,CUST01791,2023-04-30,Medium,Bug Report,8.0,4
TKT0000117,CUST01791,2023-09-23,Low,General Question,2.0,3
TKT0000118,CUST01791,2023-07-27,Low,Performance Issue,5.0,2
TKT0000119,CUST01791,2023-05-28,Low,Onboarding Help,8.0,4
TKT0000120,CUST01791,2024-01-04,High,Bug Report,6.0,2
TKT0000121,CUST01791,2023-12-29,Urgent,Performance Issue,12.0,3
TKT0000122,CUST01791,2023-12-12,High,Performance Issue,16.0,1
TKT0000123,CUST01791,2023-12-08,High,Performance Issue,5.0,2
TKT0000124,CUST01545,2023-10-11,Urgent,Performance Issue,1.0,5
TKT0000125,CUST01545,2023-10-17,Medium,Bug Report,21.0,3
TKT0000126,CUST01545,2025-01-19,Low,Feature Request,15.0,3
TKT0000127,CUST01545,2025-09-11,Low,Performance Issue,1.0,4
TKT0000128,CUST01545,2023-05-21,Medium,Bug Report,55.0,4
TKT0000129,CUST01545,2024-07-11,Medium,Bug Report,24.0,4
TKT0000130,CUST01545,2024-05-29,Low,Bug Report,14.0,4
TKT0000131,CUST01545,2024-02-07,Low,Onboarding Help,22.0,4
TKT0000132,CUST00664,2023-08-02,Low,Bug Report,2.0,4
TKT0000133,CUST00664,2024-12-02,Low,Bug Report,22.0,4
TKT0000134,CUST00664,2025-09-12,Medium,Account Access,7.0,5
TKT0000135,CUST00664,2024-08-14,Low,Onboarding Help,19.0,5
TKT0000136,CUST00664,2023-05-31,Low,Performance Issue,15.0,4
TKT0000137,CUST00664,2023-06-29,Low,General Question,4.0,4
TKT0000138,CUST00664,2024-04-04,Low,Feature Request,22.0,5
TKT0000139,CUST00015,2023-06-29,Urgent,General Question,43.0,5
